X_Start;Y_Start;X_End;Y_End
52.36906949661744;4.997554174302505;52.36139770688311;4.992019107297934
52.36139770688311;4.992019107297934;52.360404862484046;4.985692581264341
52.360404862484046;4.985692581264341;52.36674358479545;4.973879157021278
52.36674358479545;4.973879157021278;52.37145108395798;4.962317567191749
52.37145108395798;4.962317567191749;52.3655857663146;4.953665610114417
52.3655857663146;4.953665610114417;52.36620479031724;4.9385687013299755
52.36620479031724;4.9385687013299755;52.36769919900669;4.924887424575842
52.36769919900669;4.924887424575842;52.3716788239099;4.911093727363285
52.3716788239099;4.911093727363285;52.37678987465799;4.8990115439544235
52.37678987465799;4.8990115439544235;52.375060031935156;4.889577168643347
52.375060031935156;4.889577168643347;52.37408184501559;4.875806786480547
52.37408184501559;4.875806786480547;52.37491724504202;4.860612703728364
52.37491724504202;4.860612703728364;52.372378403600116;4.845197790642505
52.372378403600116;4.845197790642505;52.37414263577196;4.829519764821863
52.37414263577196;4.829519764821863;52.37268902589495;4.817692600046844
52.37268902589495;4.817692600046844;52.37257880068151;4.817646293369591
52.37257880068151;4.817646293369591;52.372029452696665;4.81405048281646
