ID;X;Y
m1000680335;52.646034201696736;4.737599700082509
m1000680344;52.64602830170707;4.73880660008306
m1000830542;52.362738602185246;4.787499200106955
m1003028149;52.36314470235535;4.80422030011625
m1003028151;52.36296620235635;4.804315400116319
m1005914914;52.29857390324867;4.88061000016592
m1012828821;52.41100710389584;4.929141100205168
m1012828853;52.41131800390107;4.92950310020548
m1014426617;52.39173330364867;4.911542000190289
m1014426644;52.392401003642924;4.91113510018995
m1014426661;52.391849903650304;4.911660400190391
m1014426667;52.39196810365174;4.911765400190475
m1015851389;52.38929080363989;4.910884300189742
m1016716187;52.39012150329138;4.884892700169401
m1016716190;52.39025250329249;4.8849803001694525
m1024689020;52.36818900367;4.912823900191238
m1024689026;52.36881580364474;4.9110159001897635
m1026622778;52.33425940295542;4.85741610014955
m1026622779;52.3393485029747;4.859068000150689
m1027384965;52.35983570220282;4.789231400107896
m1027385041;52.35980400220091;4.789042600107781
m1028640996;52.375971803527186;4.902527200182959
m102927601;52.38539600292478;4.8554061001482935
m1029631236;52.384873203248524;4.881513100166867
m1029645598;52.384224803359665;4.890067900173294
m1029673109;52.39038170330089;4.8856292001699595
m1029673115;52.39059280329112;4.884876800169386
m1029673119;52.39073730329235;4.884976200169464
m1029673120;52.390485003297336;4.8853576001697405
m1030520124;52.42121870326772;4.883390800168371
m1030520135;52.4214801032675;4.88337660016837
m1030520146;52.421281703267454;4.88337120016836
m1030520155;52.42099280326684;4.883320600168327
m103066568;52.35148280378875;4.921067100198027
m103067867;52.362808703279065;4.883651900168383
m103067874;52.36253690327966;4.88369470016843
m103067899;52.36122470331853;4.886676500170658
m103146453;52.31068830438133;4.960108200232829
m103150025;52.30963520435169;4.958216200231048
m1032858478;52.39373470270337;4.8365175001358605
m1032858490;52.39569220269042;4.835397900135164
m1032858491;52.39373030269438;4.835725400135352
m1032858493;52.397098702699964;4.836251100135708
m1032858515;52.39561520270179;4.8363983001358015
m1032858521;52.39563280269604;4.835892100135484
m1032858522;52.3937223027011;4.836317400135734
m1032858523;52.3935288027012;4.836323100135738
m1032858528;52.3937766026881;4.835174100135012
m1035251564;52.35781180251442;4.819128800125009
m1037059770;52.38518990324156;4.8809727001664704
m1037059811;52.384491803269604;4.88314860016808
m1037059816;52.38416030326628;4.882888200167875
m1037059832;52.39060310329252;4.884984500169463
m1037059842;52.390684703293815;4.885087100169549
m1037059849;52.39060700329387;4.885090500169552
m1037318182;52.40691860347321;4.898858800180169
m1037318204;52.40688130347619;4.899078800180352
m1037402785;52.22249250095261;4.632551400042791
m1037446944;52.33584730246855;4.8146446001222705
m1037446990;52.336346902475725;4.815318600122671
m1037447115;52.335776402467;4.8144985001222045
m1037447126;52.333815902418074;4.809885100119469
m1037447148;52.33582610246813;4.814606100122258
m1037447181;52.33542980246122;4.8139570001218575
m1037447182;52.3319962023891;4.807121900117861
m1037522098;52.07259429990064;4.393552999996982
m1037911122;52.35292350310005;4.8694256001579905
m1041143315;52.421738303604855;4.908694700188072
m1041143329;52.42198450360523;4.908724100188101
m1042933410;52.363417203122815;4.871361800159382
m1051894460;52.052775199953295;4.410975399998916
m1057504124;52.30462690243325;4.811009000120073
m1057668405;52.31330500247085;4.814621300122211
m1057884911;52.35926110267316;4.833485300133876
m1057884939;52.3592596026769;4.8338159001340735
m1057884945;52.36414600277363;4.842331300139541
m1057884977;52.364214002796416;4.844299900140821
m1057884989;52.35927340268745;4.834749800134665
m1062052693;52.35119060242786;4.810993400120154
