X_Start;Y_Start;X_End;Y_End
52.327654326735136;4.812234264354535;52.331727904366595;4.806866397631425
52.331727904366595;4.806866397631425;52.33697161775448;4.818795319301685
52.33697161775448;4.818795319301685;52.34159776061369;4.82787839711496
52.34159776061369;4.82787839711496;52.34565517576701;4.83700152369711
52.34565517576701;4.83700152369711;52.349718950767965;4.848764345817005
52.349718950767965;4.848764345817005;52.34787522263499;4.857383358750931
52.34787522263499;4.857383358750931;52.345511658924984;4.867440037880617
52.345511658924984;4.867440037880617;52.340826264804335;4.875832533795173
52.340826264804335;4.875832533795173;52.332299624992196;4.879455341942919
52.332299624992196;4.879455341942919;52.32633025336337;4.874322714081362
52.32633025336337;4.874322714081362;52.32663340184571;4.873567103587165
52.32663340184571;4.873567103587165;52.326700836393414;4.873344521901028
